idx,t_rel_s,latency_s,status,ttft_s
237,65.2468,0.2032,ok,0.0243
238,65.2574,0.1925,ok,0.0151
239,65.3030,0.1901,ok,0.0105
240,65.3363,0.1848,ok,0.0111
241,65.3595,0.1852,ok,0.0105
242,65.3701,0.1783,ok,0.0099
243,65.4375,0.1841,ok,0.0103
244,65.4603,0.1777,ok,0.0121
245,65.5267,0.1697,ok,0.0123
246,65.5608,0.1609,ok,0.0109
247,65.6054,0.1588,ok,0.0106
248,65.7281,0.1659,ok,0.0111
249,65.7856,0.1593,ok,0.0114
250,65.8969,0.1621,ok,0.0104
251,66.0117,0.1889,ok,0.0127
252,66.0225,0.1819,ok,0.0103
253,66.0455,0.1889,ok,0.0118
254,66.0675,0.1832,ok,0.0102
255,66.0795,0.1785,ok,0.0116
256,66.1681,0.1912,ok,0.0117
257,66.2018,0.1897,ok,0.0109
258,66.2250,0.1901,ok,0.0106
259,66.2700,0.1830,ok,0.0104
260,66.2803,0.1763,ok,0.0100
261,66.3705,0.1599,ok,0.0098
262,66.3928,0.1676,ok,0.0105
263,66.5380,0.2059,ok,0.0147
264,66.5497,0.1961,ok,0.0120
265,66.5824,0.1956,ok,0.0106
266,66.5943,0.1894,ok,0.0104
267,66.6059,0.1835,ok,0.0109
268,66.6722,0.1976,ok,0.0106
269,66.6848,0.1926,ok,0.0116
270,66.7171,0.2041,ok,0.0098
271,66.7514,0.2035,ok,0.0097
272,66.7856,0.1993,ok,0.0119
273,66.8080,0.1921,ok,0.0113
274,66.8746,0.1771,ok,0.0112
275,66.8962,0.1776,ok,0.0103
276,66.9077,0.1719,ok,0.0108
277,66.9196,0.1704,ok,0.0109
278,67.0565,0.1755,ok,0.0139
279,67.0793,0.1673,ok,0.0121
280,67.1247,0.1597,ok,0.0104
281,67.1798,0.1553,ok,0.0105
282,67.3145,0.1514,ok,0.0101
283,67.4152,0.1835,ok,0.0121
284,67.4499,0.1827,ok,0.0106
285,67.4821,0.1760,ok,0.0097
286,67.5496,0.1782,ok,0.0141
287,67.5601,0.1695,ok,0.0124
288,67.6164,0.1858,ok,0.0106
289,67.6847,0.2124,ok,0.0104
290,67.7404,0.2090,ok,0.0099
291,67.7622,0.2042,ok,0.0107
292,67.7741,0.1979,ok,0.0112
293,67.7853,0.1904,ok,0.0094
294,67.8071,0.1856,ok,0.0110
295,67.8181,0.1800,ok,0.0117
296,67.8524,0.1821,ok,0.0118
297,67.8631,0.1751,ok,0.0107
298,67.8855,0.1742,ok,0.0096
299,68.0121,0.1851,ok,0.0151
300,68.0357,0.1743,ok,0.0114
301,68.0838,0.1743,ok,0.0109
302,68.1316,0.1683,ok,0.0112
303,68.1552,0.1679,ok,0.0101
304,68.2265,0.1658,ok,0.0099
305,68.2964,0.1808,ok,0.0123
306,68.3807,0.2022,ok,0.0098
307,68.4167,0.2097,ok,0.0107
308,68.4286,0.2099,ok,0.0105
309,68.4638,0.2061,ok,0.0105
310,68.4754,0.2001,ok,0.0109
311,68.4875,0.1987,ok,0.0120
312,68.4981,0.1932,ok,0.0107
313,68.5222,0.1879,ok,0.0136
314,68.5935,0.1835,ok,0.0108
315,68.6175,0.1758,ok,0.0101
316,68.6296,0.1692,ok,0.0102
317,68.6774,0.1678,ok,0.0101
318,68.7483,0.1677,ok,0.0117
319,68.8186,0.1586,ok,0.0105
320,68.9021,0.1430,ok,0.0105
321,69.1193,0.1731,ok,0.0127
322,69.1904,0.1952,ok,0.0102
323,69.2024,0.1890,ok,0.0103
324,69.2143,0.1827,ok,0.0099
325,69.2261,0.1765,ok,0.0101
326,69.2962,0.1911,ok,0.0118
327,69.3569,0.2052,ok,0.0098
328,69.3686,0.1990,ok,0.0097
329,69.4043,0.1935,ok,0.0095
330,69.4167,0.1888,ok,0.0116
331,69.4406,0.1813,ok,0.0107
332,69.4871,0.1812,ok,0.0136
333,69.4980,0.1805,ok,0.0130
334,69.5106,0.1751,ok,0.0150
335,69.6414,0.1886,ok,0.0106
336,69.6658,0.1952,ok,0.0110
337,69.6896,0.1885,ok,0.0100
338,69.7013,0.1824,ok,0.0095
339,69.7245,0.1837,ok,0.0107
340,69.8079,0.1900,ok,0.0108
341,69.8301,0.1822,ok,0.0099
342,69.8429,0.1766,ok,0.0106
343,69.8903,0.1692,ok,0.0106
344,69.9267,0.1752,ok,0.0100
345,69.9385,0.1687,ok,0.0097
346,70.0769,0.1625,ok,0.0132
347,70.0883,0.1539,ok,0.0117
348,70.2404,0.1728,ok,0.0120
349,70.2785,0.1931,ok,0.0110
350,70.3037,0.1865,ok,0.0097
351,70.3662,0.2013,ok,0.0098
352,70.4043,0.2033,ok,0.0107
353,70.4162,0.2046,ok,0.0105
354,70.4296,0.2040,ok,0.0109
355,70.4423,0.1968,ok,0.0097
356,70.4929,0.2107,ok,0.0129
357,70.5042,0.2039,ok,0.0098
358,70.5423,0.2030,ok,0.0101
359,70.5806,0.2034,ok,0.0099
360,70.6055,0.2034,ok,0.0104
361,70.6190,0.1974,ok,0.0108
362,70.6693,0.1926,ok,0.0122
363,70.6813,0.1844,ok,0.0097
364,70.6941,0.1790,ok,0.0109
365,70.7062,0.1724,ok,0.0108
366,70.7577,0.1712,ok,0.0112
367,70.7954,0.1623,ok,0.0097
368,70.8966,0.1417,ok,0.0104
369,71.0765,0.1709,ok,0.0121
370,71.1015,0.1660,ok,0.0105
371,71.1892,0.1821,ok,0.0121
372,71.2277,0.1904,ok,0.0108
373,71.2783,0.1858,ok,0.0100
374,71.3039,0.1879,ok,0.0108
375,71.3159,0.1865,ok,0.0104
376,71.3913,0.1901,ok,0.0126
377,71.4041,0.2541,ok,0.0156
378,71.4672,0.3149,ok,0.0115
379,71.4930,0.3143,ok,0.0107
380,71.5049,0.3153,ok,0.0109
381,71.6315,0.2769,ok,0.0251
382,71.6814,0.2328,ok,0.0457
383,71.7695,0.1976,ok,0.0107
384,71.7952,0.1907,ok,0.0101
