timestamp,batch_tokens
2026-06-09T06:42:20.760000,197
2026-06-09T06:42:20.919000,201
2026-06-09T06:42:21.083000,204
2026-06-09T06:42:21.245000,210
2026-06-09T06:42:21.400000,211
2026-06-09T06:42:21.556000,213
2026-06-09T06:42:21.715000,215
2026-06-09T06:42:21.875000,217
2026-06-09T06:42:22.031000,220
2026-06-09T06:42:22.194000,225
2026-06-09T06:42:22.364000,227
2026-06-09T06:42:22.535000,232
2026-06-09T06:42:22.698000,235
2026-06-09T06:42:22.867000,237
2026-06-09T06:42:23.033000,241
2026-06-09T06:42:23.200000,246
2026-06-09T06:42:23.376000,249
2026-06-09T06:42:23.547000,253
2026-06-09T06:42:23.723000,255
2026-06-09T06:42:23.859000,128
2026-06-09T06:42:24.001000,130
2026-06-09T06:42:24.141000,130
2026-06-09T06:42:24.281000,131
2026-06-09T06:42:24.423000,134
2026-06-09T06:42:24.565000,134
2026-06-09T06:42:24.705000,135
2026-06-09T06:42:24.847000,136
2026-06-09T06:42:24.989000,136
2026-06-09T06:42:25.130000,136
2026-06-09T06:42:25.276000,137
2026-06-09T06:42:25.417000,139
2026-06-09T06:42:25.557000,140
2026-06-09T06:42:25.705000,142
2026-06-09T06:42:25.846000,142
2026-06-09T06:42:25.985000,142
2026-06-09T06:42:26.128000,144
2026-06-09T06:42:26.272000,145
2026-06-09T06:42:26.411000,145
2026-06-09T06:42:26.552000,147
2026-06-09T06:42:26.693000,150
2026-06-09T06:42:26.839000,151
2026-06-09T06:42:26.986000,152
2026-06-09T06:42:27.126000,153
2026-06-09T06:42:27.267000,154
2026-06-09T06:42:27.408000,160
2026-06-09T06:42:27.561000,161
2026-06-09T06:42:27.707000,161
2026-06-09T06:42:27.849000,163
2026-06-09T06:42:28.007000,164
2026-06-09T06:42:28.150000,165
2026-06-09T06:42:28.292000,166
2026-06-09T06:42:28.447000,168
2026-06-09T06:42:28.595000,172
2026-06-09T06:42:28.738000,174
2026-06-09T06:42:28.882000,178
2026-06-09T06:42:29.028000,182
2026-06-09T06:42:29.174000,186
2026-06-09T06:42:29.318000,189
2026-06-09T06:42:29.464000,190
2026-06-09T06:42:29.641000,247
2026-06-09T06:42:29.800000,223
2026-06-09T06:42:29.966000,247
2026-06-09T06:42:30.120000,208
2026-06-09T06:42:30.283000,219
2026-06-09T06:42:30.441000,223
2026-06-09T06:42:30.604000,235
2026-06-09T06:42:30.773000,239
2026-06-09T06:42:30.944000,247
2026-06-09T06:42:31.110000,253
2026-06-09T06:42:31.272000,197
2026-06-09T06:42:31.434000,201
2026-06-09T06:42:31.594000,206
2026-06-09T06:42:31.758000,206
2026-06-09T06:42:31.916000,214
2026-06-09T06:42:32.072000,215
2026-06-09T06:42:32.228000,218
2026-06-09T06:42:32.393000,222
2026-06-09T06:42:32.554000,229
2026-06-09T06:42:32.722000,232
2026-06-09T06:42:32.894000,236
2026-06-09T06:42:33.071000,241
2026-06-09T06:42:33.248000,242
2026-06-09T06:42:33.418000,248
2026-06-09T06:42:33.571000,171
2026-06-09T06:42:33.722000,174
2026-06-09T06:42:33.872000,177
2026-06-09T06:42:34.017000,180
2026-06-09T06:42:34.165000,181
2026-06-09T06:42:34.324000,183
2026-06-09T06:42:34.471000,184
2026-06-09T06:42:34.626000,190
2026-06-09T06:42:34.788000,193
2026-06-09T06:42:34.954000,196
2026-06-09T06:42:35.120000,199
2026-06-09T06:42:35.278000,202
2026-06-09T06:42:35.442000,206
2026-06-09T06:42:35.605000,211
2026-06-09T06:42:35.761000,212
2026-06-09T06:42:35.925000,215
2026-06-09T06:42:36.083000,217
2026-06-09T06:42:36.249000,219
2026-06-09T06:42:36.409000,224
2026-06-09T06:42:36.566000,227
2026-06-09T06:42:36.729000,230
2026-06-09T06:42:36.897000,233
2026-06-09T06:42:37.068000,235
2026-06-09T06:42:37.232000,237
2026-06-09T06:42:37.401000,241
2026-06-09T06:42:37.576000,244
2026-06-09T06:42:37.752000,248
2026-06-09T06:42:37.929000,250
2026-06-09T06:42:38.099000,255
2026-06-09T06:42:38.290000,255
2026-06-09T06:42:38.414000,127
2026-06-09T06:42:38.557000,130
2026-06-09T06:42:38.699000,130
2026-06-09T06:42:38.843000,130
2026-06-09T06:42:38.990000,133
2026-06-09T06:42:39.132000,134
2026-06-09T06:42:39.282000,134
2026-06-09T06:42:39.433000,135
2026-06-09T06:42:39.580000,135
2026-06-09T06:42:39.726000,136
2026-06-09T06:42:39.871000,136
2026-06-09T06:42:40.012000,136
2026-06-09T06:42:40.156000,137
2026-06-09T06:42:40.306000,137
2026-06-09T06:42:40.460000,139
2026-06-09T06:42:40.609000,139
2026-06-09T06:42:40.758000,141
2026-06-09T06:42:40.900000,142
2026-06-09T06:42:41.051000,142
2026-06-09T06:42:41.199000,142
2026-06-09T06:42:41.342000,143
2026-06-09T06:42:41.490000,145
2026-06-09T06:42:41.638000,145
2026-06-09T06:42:41.789000,145
2026-06-09T06:42:41.934000,145
2026-06-09T06:42:42.083000,147
2026-06-09T06:42:42.236000,150
2026-06-09T06:42:42.390000,151
2026-06-09T06:42:42.534000,152
2026-06-09T06:42:42.689000,152
2026-06-09T06:42:42.844000,153
2026-06-09T06:42:42.991000,154
2026-06-09T06:42:43.144000,158
2026-06-09T06:42:43.299000,160
2026-06-09T06:42:43.450000,160
2026-06-09T06:42:43.600000,161
2026-06-09T06:42:43.752000,161
2026-06-09T06:42:43.906000,161
2026-06-09T06:42:44.058000,163
2026-06-09T06:42:44.210000,164
2026-06-09T06:42:44.360000,165
2026-06-09T06:42:44.512000,165
