idx,t_rel_s,latency_s,status,ttft_s
319,68.8183,0.1573,ok,0.0103
320,68.9029,0.1419,ok,0.0107
321,69.1201,0.1677,ok,0.0106
322,69.1905,0.1923,ok,0.0098
323,69.2031,0.1872,ok,0.0100
324,69.2142,0.1816,ok,0.0101
325,69.2261,0.1770,ok,0.0117
326,69.2962,0.1905,ok,0.0128
327,69.3568,0.2015,ok,0.0107
328,69.3686,0.1954,ok,0.0104
329,69.4043,0.1897,ok,0.0105
330,69.4167,0.1848,ok,0.0115
331,69.4405,0.1774,ok,0.0107
332,69.4880,0.1793,ok,0.0123
333,69.4985,0.1694,ok,0.0093
334,69.5109,0.1710,ok,0.0113
335,69.6415,0.1915,ok,0.0119
336,69.6654,0.1956,ok,0.0111
337,69.6890,0.1907,ok,0.0116
338,69.7018,0.1836,ok,0.0101
339,69.7245,0.1852,ok,0.0127
340,69.8073,0.1919,ok,0.0137
341,69.8303,0.1824,ok,0.0110
342,69.8425,0.1757,ok,0.0109
343,69.8902,0.1677,ok,0.0102
344,69.9260,0.1722,ok,0.0098
345,69.9388,0.1680,ok,0.0103
346,70.0769,0.1581,ok,0.0103
347,70.0885,0.1517,ok,0.0111
348,70.2402,0.1992,ok,0.0136
349,70.2786,0.2058,ok,0.0120
350,70.3031,0.2110,ok,0.0115
351,70.3667,0.2031,ok,0.0123
352,70.4042,0.2036,ok,0.0129
353,70.4170,0.2028,ok,0.0118
354,70.4300,0.2012,ok,0.0111
355,70.4422,0.1946,ok,0.0103
356,70.4929,0.1992,ok,0.0104
357,70.5045,0.1996,ok,0.0108
358,70.5426,0.2006,ok,0.0103
359,70.5803,0.2005,ok,0.0105
360,70.6058,0.2005,ok,0.0113
361,70.6182,0.1950,ok,0.0108
362,70.6695,0.1896,ok,0.0104
363,70.6818,0.1846,ok,0.0114
364,70.6944,0.1775,ok,0.0107
365,70.7064,0.1710,ok,0.0104
366,70.7574,0.1701,ok,0.0102
367,70.7958,0.1638,ok,0.0117
368,70.8963,0.1435,ok,0.0131
369,71.0771,0.1689,ok,0.0114
370,71.1013,0.1646,ok,0.0100
371,71.1891,0.1822,ok,0.0112
372,71.2274,0.1891,ok,0.0114
373,71.2784,0.1829,ok,0.0099
374,71.3038,0.1836,ok,0.0103
375,71.3152,0.1787,ok,0.0137
376,71.3911,0.1822,ok,0.0120
377,71.4044,0.1745,ok,0.0102
378,71.4679,0.1723,ok,0.0101
379,71.4921,0.1673,ok,0.0102
380,71.5042,0.1623,ok,0.0114
381,71.6314,0.1608,ok,0.0100
382,71.6820,0.1802,ok,0.0099
383,71.7694,0.1973,ok,0.0103
384,71.7952,0.1921,ok,0.0099
385,71.8080,0.1867,ok,0.0113
386,71.8205,0.1814,ok,0.0164
387,71.8711,0.1717,ok,0.0120
388,71.8832,0.1669,ok,0.0094
389,71.9337,0.1684,ok,0.0122
390,72.0410,0.1700,ok,0.0104
391,72.0542,0.1639,ok,0.0101
392,72.1217,0.1712,ok,0.0113
393,72.1485,0.1641,ok,0.0103
394,72.2424,0.1723,ok,0.0106
395,72.2692,0.1653,ok,0.0094
396,72.3236,0.1693,ok,0.0149
397,72.3502,0.1605,ok,0.0122
398,72.4320,0.1619,ok,0.0102
399,72.5260,0.1759,ok,0.0097
400,72.5385,0.1708,ok,0.0103
401,72.5921,0.1659,ok,0.0111
