idx,t_rel_s,latency_s,status,ttft_s
221,70.2670,0.0626,ok,0.0106
222,70.3338,0.0909,ok,0.0110
223,70.4001,0.0619,ok,0.0089
224,70.4671,0.0536,ok,0.0089
225,70.5349,0.0900,ok,0.0094
226,70.6008,0.0804,ok,0.0118
227,70.6679,0.0778,ok,0.0098
228,70.7335,0.0682,ok,0.0105
229,70.8002,0.0469,ok,0.0099
230,70.8672,0.1198,ok,0.0105
231,70.9330,0.0413,ok,0.0112
232,71.0012,0.0927,ok,0.0095
233,71.0675,0.1179,ok,0.0097
234,71.1336,0.0941,ok,0.0114
235,71.2007,0.0644,ok,0.0095
236,71.2672,0.0631,ok,0.0093
237,71.3334,0.0583,ok,0.0090
238,71.4018,0.0795,ok,0.0096
239,71.4679,0.0756,ok,0.0099
240,71.6009,0.0813,ok,0.0135
241,71.6672,0.0633,ok,0.0099
242,71.7336,0.0574,ok,0.0101
243,71.8012,0.0652,ok,0.0100
244,71.8676,0.0566,ok,0.0087
245,72.0005,0.0695,ok,0.0098
246,72.1432,0.0626,ok,0.0126
247,72.2160,0.0468,ok,0.0101
248,72.2870,0.1046,ok,0.0094
249,72.3577,0.1077,ok,0.0095
250,72.4295,0.0946,ok,0.0097
251,72.5008,0.0694,ok,0.0093
252,72.5714,0.0682,ok,0.0112
253,72.6438,0.0699,ok,0.0097
254,72.7149,0.0650,ok,0.0095
255,72.7870,0.0819,ok,0.0092
256,72.8574,0.0738,ok,0.0099
257,72.9291,0.0592,ok,0.0098
258,73.0005,0.0437,ok,0.0100
259,73.0715,0.0573,ok,0.0135
260,73.1440,0.0848,ok,0.0102
261,73.2141,0.1023,ok,0.0113
262,73.2865,0.0951,ok,0.0104
263,73.3571,0.0649,ok,0.0106
264,73.4291,0.0977,ok,0.0099
265,73.5005,0.0296,ok,0.0106
266,73.5714,0.0655,ok,0.0141
267,73.6441,0.0529,ok,0.0100
268,73.8573,0.0989,ok,0.0109
269,73.9295,0.0672,ok,0.0110
270,74.0009,0.1057,ok,0.0090
271,74.0713,0.0664,ok,0.0107
272,74.1439,0.0641,ok,0.0107
273,74.2142,0.0569,ok,0.0093
274,74.2862,0.0665,ok,0.0097
275,74.3579,0.0802,ok,0.0091
276,74.4295,0.0453,ok,0.0098
277,74.5020,0.0785,ok,0.0095
278,74.5716,0.1025,ok,0.0137
279,74.6435,0.0616,ok,0.0113
280,74.7864,0.0532,ok,0.0101
281,74.8589,0.1113,ok,0.0139
282,74.9291,0.0443,ok,0.0096
283,75.0006,0.0703,ok,0.0102
284,75.0772,0.0674,ok,0.0122
285,75.1549,0.0708,ok,0.0106
286,75.2318,0.0695,ok,0.0095
287,75.3085,0.0556,ok,0.0093
288,75.3853,0.0717,ok,0.0099
289,75.4621,0.0505,ok,0.0089
290,75.5398,0.1125,ok,0.0098
291,75.6156,0.0678,ok,0.0104
292,75.6935,0.0694,ok,0.0095
293,75.7701,0.0839,ok,0.0100
294,75.8461,0.0788,ok,0.0091
295,75.9231,0.0959,ok,0.0102
296,76.0010,0.0616,ok,0.0093
297,76.1549,0.0695,ok,0.0112
298,76.2316,0.0915,ok,0.0097
299,76.3084,0.1016,ok,0.0095
300,76.3853,0.0605,ok,0.0090
301,76.4630,0.0433,ok,0.0099
302,76.5386,0.0571,ok,0.0096
303,76.6158,0.0723,ok,0.0093
304,76.6922,0.0578,ok,0.0089
305,76.7692,0.0641,ok,0.0095
306,77.0838,0.0788,ok,0.0114
307,77.1678,0.0983,ok,0.0100
308,77.2504,0.0880,ok,0.0104
309,77.5841,0.0787,ok,0.0128
310,77.7517,0.0947,ok,0.0103
311,78.0007,0.1067,ok,0.0114
312,78.1677,0.0476,ok,0.0111
313,78.3346,0.0734,ok,0.0104
314,78.5002,0.0382,ok,0.0128
315,78.5836,0.0621,ok,0.0100
316,78.6678,0.0909,ok,0.0094
317,78.7505,0.0637,ok,0.0095
318,78.8334,0.0638,ok,0.0099
319,78.9175,0.0572,ok,0.0116
320,79.0020,0.1109,ok,0.0097
321,79.0911,0.0700,ok,0.0096
322,79.2734,0.0725,ok,0.0098
323,79.3650,0.0613,ok,0.0092
324,79.4555,0.0662,ok,0.0096
325,79.5460,0.0873,ok,0.0093
326,79.6365,0.0630,ok,0.0107
327,79.7277,0.0409,ok,0.0106
328,79.8188,0.0872,ok,0.0104
329,79.9091,0.0555,ok,0.0107
330,80.0019,0.0695,ok,0.0110
331,80.0916,0.0586,ok,0.0114
332,80.1825,0.0389,ok,0.0102
333,80.2746,0.0841,ok,0.0104
334,80.3649,0.0585,ok,0.0096
335,80.4556,0.0711,ok,0.0097
336,80.5459,0.0708,ok,0.0094
337,80.7280,0.0709,ok,0.0114
338,80.8182,0.0539,ok,0.0098
339,80.9093,0.0740,ok,0.0095
340,81.0005,0.0570,ok,0.0096
341,81.1009,0.0905,ok,0.0171
342,81.2016,0.0571,ok,0.0099
343,81.4020,0.0496,ok,0.0101
344,81.5009,0.0806,ok,0.0100
345,81.6007,0.0805,ok,0.0096
346,81.8015,0.0792,ok,0.0115
347,81.9009,0.0661,ok,0.0106
348,82.0002,0.0640,ok,0.0117
349,82.1015,0.0668,ok,0.0100
350,82.2005,0.0905,ok,0.0104
351,82.3011,0.0836,ok,0.0099
352,82.4009,0.0586,ok,0.0112
353,82.5007,0.0837,ok,0.0102
354,82.6007,0.1015,ok,0.0107
355,82.7001,0.0949,ok,0.0099
356,82.8001,0.0662,ok,0.0089
357,82.9005,0.0693,ok,0.0094
358,83.0011,0.0540,ok,0.0097
359,83.1113,0.0516,ok,0.0103
360,83.2231,0.0683,ok,0.0116
361,83.3337,0.0485,ok,0.0104
362,83.4445,0.0883,ok,0.0100
363,83.5571,0.0633,ok,0.0095
364,83.6677,0.0833,ok,0.0128
365,83.7784,0.0562,ok,0.0102
366,83.8899,0.0528,ok,0.0099
367,84.0009,0.0592,ok,0.0101
368,84.1112,0.0491,ok,0.0093
369,84.2227,0.0811,ok,0.0139
370,84.4452,0.0394,ok,0.0106
371,84.5578,0.0438,ok,0.0102
372,84.6678,0.0793,ok,0.0101
373,84.7784,0.0868,ok,0.0115
374,84.8895,0.0744,ok,0.0099
375,85.0011,0.0430,ok,0.0096
376,85.1124,0.0884,ok,0.0135
377,85.2234,0.0902,ok,0.0173
378,85.3340,0.0641,ok,0.0106
379,85.4444,0.0664,ok,0.0098
380,85.5571,0.0832,ok,0.0096
381,85.6675,0.0511,ok,0.0097
382,85.7788,0.1068,ok,0.0114
383,85.8898,0.0553,ok,0.0094
384,86.0003,0.0510,ok,0.0098
385,86.1256,0.0961,ok,0.0097
386,86.2509,0.0664,ok,0.0110
387,86.3756,0.0578,ok,0.0102
388,86.6258,0.0644,ok,0.0101
389,86.7505,0.0762,ok,0.0118
390,86.8759,0.0808,ok,0.0101
391,87.0009,0.0490,ok,0.0092
392,87.1262,0.0837,ok,0.0100
393,87.2510,0.0665,ok,0.0096
394,87.3758,0.0589,ok,0.0098
395,87.5010,0.0926,ok,0.0127
396,87.6258,0.0699,ok,0.0101
397,87.8760,0.0409,ok,0.0105
398,88.0012,0.0566,ok,0.0124
399,88.1441,0.0683,ok,0.0103
400,88.2867,0.0866,ok,0.0098
401,88.7149,0.0792,ok,0.0143
402,89.0017,0.1052,ok,0.0130
403,89.1442,0.0735,ok,0.0104
404,89.4301,0.0864,ok,0.0185
405,89.5717,0.1191,ok,0.0113
406,89.7150,0.0687,ok,0.0103
407,89.8581,0.0996,ok,0.0161
408,90.1443,0.0668,ok,0.0138
409,90.2864,0.0765,ok,0.0106
410,90.4312,0.0842,ok,0.0101
411,90.5716,0.0611,ok,0.0105
412,90.7150,0.0625,ok,0.0100
413,90.8578,0.0794,ok,0.0104
414,91.0006,0.0643,ok,0.0142
415,91.1432,0.0809,ok,0.0107
416,91.2864,0.1067,ok,0.0096
417,91.5716,0.0974,ok,0.0133
418,91.7142,0.0654,ok,0.0100
419,92.0012,0.0611,ok,0.0141
420,92.1438,0.0935,ok,0.0102
421,92.2865,0.1005,ok,0.0096
422,92.5715,0.0805,ok,0.0132
423,92.7143,0.0587,ok,0.0098
424,93.0005,0.0713,ok,0.0134
425,93.1451,0.0546,ok,0.0114
426,93.4301,0.0472,ok,0.0103
427,93.5717,0.0845,ok,0.0106
428,93.7144,0.0926,ok,0.0110
429,93.8573,0.0485,ok,0.0104
430,94.0012,0.0645,ok,0.0129
431,94.1439,0.0346,ok,0.0105
432,94.2867,0.1011,ok,0.0097
433,94.5723,0.0647,ok,0.0129
434,94.7143,0.0313,ok,0.0102
435,94.8581,0.0611,ok,0.0143
436,95.1438,0.0880,ok,0.0130
437,95.2870,0.0564,ok,0.0105
438,95.4296,0.0747,ok,0.0097
439,95.5726,0.1101,ok,0.0135
440,95.7150,0.0855,ok,0.0100
441,96.0010,0.1006,ok,0.0133
442,96.1439,0.0733,ok,0.0104
443,96.2864,0.0862,ok,0.0096
444,96.5721,0.0434,ok,0.0131
445,96.7148,0.0640,ok,0.0102
446,96.8580,0.0917,ok,0.0099
447,97.0010,0.0660,ok,0.0124
448,97.1433,0.0799,ok,0.0106
449,97.2865,0.0688,ok,0.0105
450,97.4296,0.0991,ok,0.0094
451,97.5719,0.0790,ok,0.0114
452,98.0016,0.1035,ok,0.0131
453,98.1435,0.0641,ok,0.0103
454,98.2868,0.0684,ok,0.0100
455,98.5716,0.0529,ok,0.0138
456,98.7149,0.0673,ok,0.0107
457,98.8575,0.0808,ok,0.0111
458,99.0006,0.0455,ok,0.0122
459,99.1435,0.0716,ok,0.0101
460,99.2874,0.0634,ok,0.0096
461,99.4300,0.0815,ok,0.0101
462,99.7149,0.0847,ok,0.0111
463,100.0011,0.0724,ok,0.0128
464,100.1438,0.0813,ok,0.0104
465,100.2864,0.0803,ok,0.0096
466,100.4300,0.0719,ok,0.0105
467,100.5721,0.0614,ok,0.0109
468,100.7148,0.0693,ok,0.0110
469,100.8573,0.0663,ok,0.0112
470,101.0009,0.0511,ok,0.0135
471,101.1433,0.0719,ok,0.0105
472,101.4295,0.0828,ok,0.0124
473,101.5726,0.0528,ok,0.0115
474,102.0011,0.0879,ok,0.0131
475,102.1434,0.0651,ok,0.0100
476,102.2867,0.0479,ok,0.0099
477,102.5732,0.0480,ok,0.0130
478,102.7145,0.0591,ok,0.0100
479,103.0011,0.0416,ok,0.0130
480,103.1441,0.0763,ok,0.0101
481,103.2867,0.0804,ok,0.0097
482,103.4293,0.0526,ok,0.0097
483,103.7152,0.0491,ok,0.0110
484,103.8576,0.0808,ok,0.0101
485,104.2880,0.0753,ok,0.0146
486,104.5727,0.0784,ok,0.0127
487,104.7144,0.0705,ok,0.0107
488,104.8582,0.0595,ok,0.0137
489,105.0010,0.0740,ok,0.0146
490,105.1433,0.0808,ok,0.0101
491,105.4305,0.0725,ok,0.0110
492,105.5712,0.0681,ok,0.0113
493,105.7146,0.0859,ok,0.0108
494,105.8578,0.0876,ok,0.0110
495,106.0008,0.0730,ok,0.0133
496,106.1442,0.0408,ok,0.0101
497,106.2862,0.0615,ok,0.0111
498,106.8585,0.0818,ok,0.0143
499,107.0006,0.0812,ok,0.0121
500,107.1440,0.0747,ok,0.0101
501,107.5722,0.0888,ok,0.0131
502,107.7143,0.0886,ok,0.0099
503,107.8580,0.0752,ok,0.0104
504,108.0014,0.0725,ok,0.0127
505,108.1432,0.0640,ok,0.0102
506,108.2863,0.0713,ok,0.0098
507,108.5720,0.0602,ok,0.0133
508,109.0009,0.0903,ok,0.0139
509,109.1444,0.0904,ok,0.0104
510,109.2879,0.0606,ok,0.0100
511,109.4297,0.0594,ok,0.0105
512,109.5712,0.0684,ok,0.0115
513,109.7149,0.0580,ok,0.0103
514,109.8583,0.0854,ok,0.0135
515,110.0010,0.0901,ok,0.0136
516,110.1444,0.0721,ok,0.0105
517,110.2868,0.0391,ok,0.0103
518,110.4302,0.0810,ok,0.0102
519,110.5715,0.0761,ok,0.0120
